Key,Type,Desc,English,Georgian,French,German,Italian,Portuguese,Spain,Russian,,TempGeorgianToTranslate
TEXT_FUN!,Text,,FUN!,,AMUSANT !,SPASS!,DIVERTENTE!,DIVERSÃO!,¡DIVERSIÓN!,ВЕСЕЛО!,,
TEXT_HAPPY!,Text,,HAPPY!,,JOYEUX !,HAPPY!,FELICE!,FELIZ!,¡FELIZ!,КЛАССНО!,,
TEXT_GAMES,Text,,GAMES,თამაში,JEUX,SPIELE,GIOCHI,JOGOS,PARTIDOS,ИГР,,თამაშები
TEXT_PLAY,Text,,PLAY,თამაში,JOUER,SPIELEN,GIOCA,JOGAR,JUGAR,ИГРАТЬ,,ითამაშეთ
TEXT_RATE_US,Text,,Rate us,,ÉVALUEZ-NOUS,Bewerten Sie uns,VALUTACI,CLASSIFIQUE-NOS,VALÓRANOS,Оцените Нас,,შეგვაფასეთ
TEXT_UNLOCKS_IN,Text,,Unlocks in,,Débloque Dans,Wird Freigeschaltet in,Si Sblocca in,Desbloqueia em,Se Desbloquea en,Откроется Через,,
TEXT_UNLOCKS,Text,,UNLOCKS,,DÉBLOQUE,FREIGESCHALTET,Si Sblocca,DESBLOQUEIA,Se Desbloquea,ОТКРЫВАЕТСЯ,,
TEXT_TOMORROW,Text,,TOMORROW,,DEMAIN,MORGEN,DOMANI,AMANHÃ,MAÑANA,ЗАВТРА,,
TEXT_DAYS,Text,,DAYS,,JOURS,TAGE,GIORNI,DIAS,DÍAS,ДН.,,
TEXT_NEW,Text,,NEW,ახალი,NOUVEAU,NEU,NUOVO,NOVO,NUEVO,НОВОЕ,,
TEXT_SCHOOL,Text,,SCHOOL,სკოლა,ÉCOLE,SCHULE,SCUOLA,ESCOLA,ESCUELA,ШКОЛА,,
TEXT_DRAG_TO_EXIT,Text,,Drag to Exit,გადასწიეთ,Glisser Pour Sortir,"Ziehen, um Auszusteigen",Trascina per Uscire,Arrastar Para Sair,Arrastrar Para Salir,Перетащите Для Выхода,,გადაწიეთ გამოსასვლელად
TEXT_FREE_NEW_GAMES,Text,,Free New Games,,Nouveaux Jeux Gratuits,Neue Gratisspiele,Nuovi Giochi Gratis,Novos Jogos Gratuitos,Nuevos Juegos Gratis,Бесплатные Новые Игры,,
TEXT_UNLOCK_ALL_GAMES,Text,,Unlock All Games,,Débloquer Tous les Jeux,Alle Spiele Freischalten,Sblocca Tutti i Giochi,Desbloquear Todos os Jogos,Desbloquea Todos los Juegos,Открыть Все Игры,,
TEXT_GREAT_GIFT,Text,,Great Gift,,Excellent Cadeau,Großartiges Geschenk,Un Super Regalo,Ótimo Presente,Grandes Regalos,Отличный Подарок,,
TEXT_SHARE,Text,,Share,გაზიარება,Partager,Teilen,Condividi,Compartilhar,Compartir,Поделиться,,
